id,term,category,weight
1,mines,344,82
2,hollow,344,89
3,palm,344,101
4,rising,344,293
5,nations,344,67
6,ashes,344,1595
7,rains,344,182
8,sun,344,5326
9,twisted,344,112
10,lions,344,585
11,rhythm,344,108
12,shadows,344,171
13,phoenix,344,1233
14,rise,344,8305
15,refuse,344,127
16,fall,344,3649
17,seasons,344,135
18,rises,344,112
19,grin,344,71
20,shine,344,2218
21,we'll,344,586
22,fields,344,1248
23,gather,344,52
24,lion,344,100
25,grind,344,381
26,strawberry,344,387
27,slide,344,60
28,sunset,344,92
29,occasion,344,187
30,soft,344,328
31,wind,344,753
32,meet,344,1402
33,swell,345,234
34,ipad,345,101
35,pretty,345,15785
36,sounds,345,622
37,hiccups,345,189
38,awesome,345,3281
39,admit,345,183
40,neat,345,829
41,darn,345,212
42,kinda,345,1367
43,wardrobe,345,24
44,badass,345,1012
45,basically,345,157
46,thinks,345,2086
47,legit,345,1017
48,cool,345,9798
49,fu,346,307
50,chi,346,86
51,mei,346,78
52,japanese,346,214
53,long,346,3487
54,hook,346,87
55,harris,346,1067
56,time,346,13768
57,mitchell,346,43
58,nice,346,2489
59,fixing,347,65
60,curl,347,426
61,forced,347,248
62,sit,347,4042
63,tv,347,3418
64,movie,347,7030
65,couch,347,1000
66,bout,347,764
67,snuggle,347,576
68,misunderstood,347,37
69,relax,347,1407
70,dvds,347,74
71,blanket,347,78
72,fireworks,347,141
73,watch,347,34061
74,gonna,347,5562
75,despicable,347,84
76,lay,347,1025
77,eat,347,1011
78,chill,347,873
79,settling,347,80
80,dvd,347,229
81,movies,347,4164
82,cuddle,347,916
83,cartoons,347,320
84,sofa,347,91
85,popcorn,347,315
86,hubby,347,304
87,shrek,347,100
88,cookies,340,563
89,oreos,340,226
90,slower,340,109
91,bananas,340,146
92,taste,340,464
93,nut,340,168
94,coconut,340,69
95,packet,340,75
96,honey,340,587
97,tastes,340,160
98,lick,340,86
99,mmmmm,340,252
100,mmmmmm,340,90
101,pickles,340,208
102,cups,340,458
103,graham,340,507
104,milk,340,426
105,flavor,340,105
106,toast,340,867
107,snack,340,364
108,grape,340,100
109,donut,340,118
110,peanut,340,7796
111,jar,340,632
112,butterflies,340,94
113,mmmmmmm,340,46
114,icecream,340,126
115,jam,340,677
116,sandwiches,340,468
